Numero,Aleacion ,Composicion (at.%),Categoria ,Fabricacion,Fases ,Categoría,Densidad (g/cm3),Dureza (HV),Modulo de Young (GPa),Limite Elastico (Mpa),Esfuerzo ultimo ,Deformacion,Fecha publicacion,DOI
154,CoCrFeNi,"Co24,77-Cr26,14-Fe23,06-Ni26,03 en wt%",HEA,Pulvimetalurgia,FCC,FCC,N/A,N/A,221,250,650,51,20-jul-19,https://doi.org/10.1016/j.engfracmech.2019.106579
155,CoCrFeNiMo0.2,"Co22,83-+Cr24,09-Fe21,25-Ni23,99-Mo7,84 en wt%",HEA,Pulvimetalurgia,FCC,FCC,N/A,N/A,228,375,780,55,20-jul-19,https://doi.org/10.1016/j.engfracmech.2019.106579
156,CoCrFeNiNb0.5,N/A,EHEA,Fusion por arco,FCC + Laves C14,FCC+IM,N/A, 938.1,250,N/A,N/A,N/A,21-dic-18,https://doi.org/10.1002/adem.201801060
157,CoCrNi,Co33-Cr33-Ni33,MEA,Fusion por induccion al vacio + Homogenizado a 110°C por 6 h + laminado en frio + recristalizacion a 900 °C por 1 h,FCC,FCC,N/A,233,N/A,380,900,68,23-ago-18,https://doi.org/10.1016/j.msea.2018.08.079
158,CoCrNi,Co33-Cr33-Ni33,MEA,Fusion por induccion al vacio + Homogenizado a 110°C por 6 h + laminado en frio + recristalizacion a 900 °C por 1 h + torsión de alta presión (HPT) ,FCC,FCC,N/A,610,N/A,1880,2170,4,23-ago-18,https://doi.org/10.1016/j.msea.2018.08.079
159,CoCrNi,Co33-Cr33-Ni33,Criogenico,Fusion por induccion al vacio + Homogenizado a 110°C por 6 h + laminado en frio + recristalizacion a 600 °C por 1 h + torsión de alta presión (HPT) - estudio a 77 K,FCC (Tamaño de grano 650 nm),FCC,N/A,N/A,N/A,1975,2054,27,15-ene-19,https://doi.org/10.1016/j.scriptamat.2019.01.016
160,CoCrNi,Co33-Cr33-Ni33,Criogenico,Fusion por induccion al vacio + Homogenizado a 110°C por 6 h + laminado en frio + recristalizacion a 700 °C por 1 h + torsión de alta presión (HPT) - estudio a 77 K,"FCC (Tamaño de grano 1,5 um)",FCC,N/A,N/A,N/A,1363,1577,50,15-ene-19,https://doi.org/10.1016/j.scriptamat.2019.01.016
161,CoCrNi,Co33-Cr33-Ni33,Criogenico,Fusion por induccion al vacio + Homogenizado a 110°C por 6 h + laminado en frio + recristalizacion a 900 °C por 1 h + torsión de alta presión (HPT) - estudio a 77 K,FCC (Tamaño de grano 20 um),FCC,N/A,N/A,N/A,795,1228,71,15-ene-19,https://doi.org/10.1016/j.scriptamat.2019.01.016
162,CoCrNi–3W,(Co33-Cr33-Ni33)97-W3,MEA,Fusion por arco+Homogenizado 1473 K por 24 h+ laminado en frio,FCC,FCC,N/A,190,N/A,1000,1300,44,28-jun-18,https://doi.org/10.1557/jmr.2018.247
163,Cr15Fe20Co35Ni20Mo10,Cr15-Fe20-Co35-Ni20-Mo10,HEA,Fusion por arco + homogenizacion 1200°C por 48 h laminado en caliente + laminado en frio + recocido 800°C por 1 h con enfriamiento por aire ,FCC+ fase u,FCC+IM,N/A,N/A,N/A,1311,1410,12.1,14-may-17,https://doi.org/10.1016/j.scriptamat.2017.05.019
164,Cr15Fe20Co35Ni20Mo10,Cr15-Fe20-Co35-Ni20-Mo10,HEA,Fusion por arco + homogenizacion 1200°C por 48 h laminado en caliente + laminado en frio + recocido 850°C por 5 min con enfriamiento por agua,FCC+ fase u,FCC+IM,N/A,N/A,N/A,1212,1360,14.9,14-may-17,https://doi.org/10.1016/j.scriptamat.2017.05.019
165,Cr15Fe20Co35Ni20Mo10,Cr15-Fe20-Co35-Ni20-Mo10,HEA,Fusion por arco + homogenizacion 1200°C por 48 h laminado en caliente + laminado en frio + recocido 900°C por 5 min con enfriamiento por agua,FCC+ fase u,FCC+IM,N/A,N/A,N/A,1028,1249,18.3,14-may-17,https://doi.org/10.1016/j.scriptamat.2017.05.019
166,Cr15Fe20Co35Ni20Mo10,Cr15-Fe20-Co35-Ni20-Mo10,HEA,Fusion por arco + homogenizacion 1200°C por 48 h laminado en caliente + laminado en frio + recocido 1000°C por 5 min con enfriamiento por agua,FCC+ fase u,FCC+IM,N/A,N/A,N/A,879,1194,25.4,14-may-17,https://doi.org/10.1016/j.scriptamat.2017.05.019
167,Cr15Fe20Co35Ni20Mo10,Cr15-Fe20-Co35-Ni20-Mo10,HEA,Fusion por arco + homogenizacion 1200°C por 48 h laminado en caliente + laminado en frio + recocido 1000°C por 1 h con enfriamiento por aire ,FCC+ fase u,FCC+IM,N/A,N/A,N/A,799,1127,28.2,14-may-17,https://doi.org/10.1016/j.scriptamat.2017.05.019
168,Cr15Fe20Co35Ni20Mo10,Cr15-Fe20-Co35-Ni20-Mo10,HEA,Fusion por arco + homogenizacion 1200°C por 48 h laminado en caliente + laminado en frio + recocido 1150°C por 1 h con enfriamiento por aire ,FCC,FCC,N/A,N/A,N/A,350,918,62.4,14-may-17,https://doi.org/10.1016/j.scriptamat.2017.05.019
169,Cr19.68Mn19.68Fe19.68Co19.68Ni19.68Nb0.8C0.8,Cr19.68-Mn19.68-Fe19.68-Co19.68-Ni19.68-Nb0.8-C0.8,HEA,Fusion por arco + homogenizado 1473 K por 24 h + homogenizado 1523 K por 2 h con enfriamiento por agua + laminado en frio + recocido 1073 K por 1 h,FCC + NbC,FCC,N/A,N/A,N/A,380,615,47.5,10-abr-19,https://doi.org/10.1016/j.jallcom.2019.04.121
170, Cr20Mn20Fe20Co20Ni20, Cr20-Mn20-Fe20-Co20-Ni20,HEA,Fusion por arco + homogenizado 1473 K por 24 h + homogenizado 1523 K por 2 h con enfriamiento por agua + laminado en frio + recocido 1073 K por 1 h,FCC,FCC,N/A,N/A,N/A,740,905,35,10-abr-19,https://doi.org/10.1016/j.jallcom.2019.04.121
171,FeCoNiCrMn,Fe19-Co20-Ni22-Cr20-Mn19,HEA,Fundicion por induccion ,FCC,FCC,N/A,296,190,N/A,N/A,N/A,07-oct-18,https://doi.org/10.1016/j.intermet.2018.10.006
172,FeCoNiCrMneAl,Fe17-Co20-Ni20-Cr19-Mn17-Al8,HEA,Fundicion por induccion ,FCC+BCC,FCC+BCC,N/A,336,190,N/A,N/A,N/A,07-oct-18,https://doi.org/10.1016/j.intermet.2018.10.006
173,FeCoNiCrMn,"Fe19,78-Co19,94-Ni20,37-Cr19,62-Mn20,29",HEA,Fucion por arco + homogenizacion 1473K por 10h + laminado en frio + recocido 800 °C por 1 h,FCC ,FCC,N/A,N/A,N/A,325,647,52.3,03-abr-19,https://doi.org/10.1016/j.jallcom.2019.04.035
174,Fe20Co23Ni17Cr20Mn20,"Fe20,28-Co22,76-Ni16,86-Cr20,33-Mn19,77",HEA,Fucion por arco + homogenizacion 1473K por 10h + laminado en frio + recocido 800 °C por 1 h,FCC,FCC,N/A,N/A,N/A,328,658,56,03-abr-19,https://doi.org/10.1016/j.jallcom.2019.04.035
175,Fe20Co27Ni13Cr20Mn20,"FE19,72-Co26,75-Ni12,78-Cr20,32-Mn20,43",HEA,Fucion por arco + homogenizacion 1473K por 10h + laminado en frio + recocido 800 °C por 1 h,FCC,FCC,N/A,N/A,N/A,350,725,59.8,03-abr-19,https://doi.org/10.1016/j.jallcom.2019.04.035
176,Fe20Co30Ni10Cr20Mn20,"Fe19,95-Co29,78-Ni9,63-Cr20,45-Mn20,19",HEA,Fucion por arco + homogenizacion 1473K por 10h + laminado en frio + recocido 800 °C por 1 h,FCC+ HCP,FCC+HCP,N/A,N/A,N/A,395,810,69,03-abr-19,https://doi.org/10.1016/j.jallcom.2019.04.035
177,Fe-18Cr-14Ni,"Fe66,6-Cr18,8-Ni14,6",LEA,N/A,FCC,FCC,N/A,N/A,N/A,167,483,81,31-dic-18,https://doi.org/10.1016/j.prostr.2018.12.224
178,Fe-20Cr-20Ni-20Mn-20Co,"Fe18,2-Cr20,9-Ni20,2-Mn19,8-Co20,9",HEA,N/A,FCC,FCC,N/A,N/A,N/A,254,585,53,31-dic-18,https://doi.org/10.1016/j.prostr.2018.12.224
179,"Fe-30Mn10Co-10Cr-0,5C","Fe30-Mn10-Co10-Cr10-C0,5",HEA,Fusion por induccion al vacio + homogenizado 1200 °C por 2 h + laminado en frio + recocido 900°C por 3 min,FCC + HCP,FCC+HCP,N/A,N/A,N/A,500,960,61,18-ene-18,https://doi.org/10.1016/j.actamat.2018.01.036
180,Fe30Mn10Cr10Co,"Fe50,37-Mn29,8-Cr9,29-Co10,46",HEA,Fusion por induccion al vacio + laminado en caliente 1273 K + homogenizacion 1473 K por 2 h +  laminado en caliente 1273 K + tratamiento 1073 K por 1 h,FCC,FCC,N/A,N/A,N/A,172,733,53.6,31-dic-18,https://doi.org/10.1016/j.prostr.2018.12.159
181,Fe38.5Mn20Co20Cr15Si5Cu1.5,Fe38.5-Mn20-Co20-Cr15-Si5-Cu1.5,HEA,Fusion por induccion al vacio ,FCC + HCP,FCC+HCP,N/A,N/A,N/A,850,1126,42,02-abr-19,https://doi.org/10.1016/j.apmt.2019.04.001
182,Fe39Mn20Co20Cr15Si5Al1,"Fe40,2-Mn19,7-Co20,5-Cr14,4-Si4,6-Al0,7",HEA,Fusion por induccion al vacio + recocido 650 por 15 min,FCC(30%) + HCP (70%),FCC+HCP,N/A,N/A,N/A,610,1200,52,10-sept-18,https://doi.org/10.1016/j.apmt.2018.09.002
183,Fe39Mn20Co20Cr15Si5Al1,"Fe40,2-Mn19,7-Co20,5-Cr14,4-Si4,6-Al0,7",HEA,Fusion por induccion al vacio + recocido 650 por 30 min,FCC(55%) + HCP (45%),FCC+HCP,N/A,N/A,N/A,700,1630,43,10-sept-18,https://doi.org/10.1016/j.apmt.2018.09.002
184,Fe39Mn20Co20Cr15Si5Al1,"Fe40,2-Mn19,7-Co20,5-Cr14,4-Si4,6-Al0,7",HEA,Fusion por induccion al vacio + recocido 850 por 15 min,FCC(97%) + HCP (3%),FCC+HCP,N/A,N/A,N/A,520,1040,45,10-sept-18,https://doi.org/10.1016/j.apmt.2018.09.002
185,Fe39Mn20Co20Cr15Si5Al1,"Fe40,2-Mn19,7-Co20,5-Cr14,4-Si4,6-Al0,7",HEA,Fusion por induccion al vacio + recocido 850 por 30 min,FCC(43%) + HCP (57%),FCC+HCP,N/A,N/A,N/A,490,980,50.5,10-sept-18,https://doi.org/10.1016/j.apmt.2018.09.002
186,Fe40.4Ni11.3Mn34.8Al7.5Cr6,Fe40.4-Ni11.3-Mn34.8-Al7.5-Cr6,HEA,Fusion por arco ,FCC,FCC,N/A,N/A,N/A,159,535,40.8,26-ago-16,https://doi.org/10.1016/j.actamat.2016.08.072
187,Fe40.4Ni11.3Mn34.8Al7.5Cr6 - C0.07,"Fe41,83-Ni10,13-Mn35,25-Al7,2-Cr5,52-C0,07",HEA,Fusion por arco ,FCC,FCC,N/A,N/A,N/A,171,674,51.6,26-ago-16,https://doi.org/10.1016/j.actamat.2016.08.072
188,Fe40.4Ni11.3Mn34.8Al7.5Cr6 - C0.16,"Fe40,6-Ni11,58-Mn35,55-Al7,10-Cr5,01-C0,16",HEA,Fusion por arco ,FCC,FCC,N/A,N/A,N/A,181,713,52.2,26-ago-16,https://doi.org/10.1016/j.actamat.2016.08.072
189,Fe40.4Ni11.3Mn34.8Al7.5Cr6 - C0.30,"Fe44,85-Ni10,05-Mn32,25-Al7,35-Cr5,2-C0,3",HEA,Fusion por arco ,FCC,FCC,N/A,N/A,N/A,208,762,48.2,26-ago-16,https://doi.org/10.1016/j.actamat.2016.08.072
190,Fe40.4Ni11.3Mn34.8Al7.5Cr6 - C0.55,"Fe41,08-Ni10,21-Mn35,46-Al7,39-Cr5,31-C0,55",HEA,Fusion por arco ,FCC,FCC,N/A,N/A,N/A,274,960,52.3,26-ago-16,https://doi.org/10.1016/j.actamat.2016.08.072
191,"Fe40.4Ni11.3Mn34.8Al7.5Cr6 - C1,10","Fe39,93-Ni10,35-Mn35,67-Al7,4-Cr5,55-C1,1",HEA,Fusion por arco ,FCC,FCC,N/A,N/A,N/A,355,1174,49.5,26-ago-16,https://doi.org/10.1016/j.actamat.2016.08.072
192,Fe40.4Ni11.3Mn34.8Al7.5Cr6 + 0.5 at% B,Fe40.4Ni11.3Mn34.8Al7.5Cr6 + 0.5 at% B,HEA,Fusion por arco ,FCC,FCC,N/A,N/A,N/A,174,455,37,24-may-16,https://doi.org/10.1016/j.matlet.2016.05.122
193,Fe40.4Ni11.3Mn34.8Al7.5Cr6 + 1 at% B,Fe40.4Ni11.3Mn34.8Al7.5Cr6 + 1 at% B,HEA,Fusion por arco ,FCC,FCC,N/A,N/A,N/A,186,519,31.4,24-may-16,https://doi.org/10.1016/j.matlet.2016.05.122
194,Fe40Mn40Co10Cr10 + 1.0Mo (%Wt),Fe40Mn40Co10Cr10 + 1.0Mo (%Wt),HEA,Fusion por arco ,FCC,FCC,N/A,N/A,N/A,270,546,52,14-feb-18,https://doi.org/10.1016/j.matlet.2018.02.065
195,"Fe40Mn40Co10Cr10 + 0,75C (%Wt)","Fe40Mn40Co10Cr10 + 0,75C (%Wt)",HEA,Fusion por arco ,FCC,FCC,N/A,N/A,N/A,400,703,44,14-feb-18,https://doi.org/10.1016/j.matlet.2018.02.065
196,"Fe40Mn40Co10Cr10 + 1.0Mo + 0,75C(%Wt)","Fe40Mn40Co10Cr10 + 1.0Mo + 0,75C(%Wt)",HEA,Fusion por arco ,FCC,FCC,N/A,N/A,N/A,413,774,50,14-feb-18,https://doi.org/10.1016/j.matlet.2018.02.065
197,Fe40Mn40Co10Cr10 + 1.0C (%Wt),Fe40Mn40Co10Cr10 + 1.0C (%Wt),HEA,Fusion por arco ,FCC,FCC,N/A,N/A,N/A,520,818,40,14-feb-18,https://doi.org/10.1016/j.matlet.2018.02.065
198,Fe40Mn40Co10Cr10 + 1.0Mo+1.0C (%Wt),Fe40Mn40Co10Cr10 + 1.0Mo+1.0C (%Wt),HEA,Fusion por arco ,FCC,FCC,N/A,N/A,N/A,560,1024,50,14-feb-18,https://doi.org/10.1016/j.matlet.2018.02.065
199,(Fe40Mn40Co10Cr10),(Fe40Mn40Co10Cr10),HEA,Fusion por arco + refundicion 5 veces,FCC,FCC,N/A,143,N/A,213,471,57.7,11-ene-18,https://doi.org/10.1016/j.msea.2018.01.045
200,"(Fe40Mn40Co10Cr10)100−2,2 C2,2","(Fe40Mn40Co10Cr10)100−2,2 C2,3",HEA,Fusion por arco + refundicion 5 veces,FCC,FCC,N/A,213,N/A,310,650,62.9,12-ene-18,https://doi.org/10.1016/j.msea.2018.01.045
201,"(Fe40Mn40Co10Cr10)100−3,3 C3,3","(Fe40Mn40Co10Cr10)100−3,3 C3,4",HEA,Fusion por arco + refundicion 5 veces,FCC,FCC,N/A,246,N/A,422,787,77.8,13-ene-18,https://doi.org/10.1016/j.msea.2018.01.045
202,"(Fe40Mn40Co10Cr10)100−4,4 C4,4","(Fe40Mn40Co10Cr10)100−4,4 C4,5",HEA,Fusion por arco + refundicion 5 veces,FCC,FCC,N/A,270,N/A,467,836,54.7,14-ene-18,https://doi.org/10.1016/j.msea.2018.01.045
203,"(Fe40Mn40Co10Cr10)100−6,6 C6,6","(Fe40Mn40Co10Cr10)100−6,6 C6,7",HEA,Fusion por arco + refundicion 5 veces,FCC,FCC,N/A,343,N/A,620,946,26.5,15-ene-18,https://doi.org/10.1016/j.msea.2018.01.045
204,"(Fe40Mn40Co10Cr10)100−8,9 C8,9","(Fe40Mn40Co10Cr10)100−8,9 C8,10",HEA,Fusion por arco + refundicion 5 veces,FCC,FCC,N/A,395,N/A,750,955,5.8,16-ene-18,https://doi.org/10.1016/j.msea.2018.01.045
205,Fe42Mn28Cr15Co10Si5,Fe42-Mn28-Cr15-Co10-Si5,HEA,Fusion por induccion al vacio +  deformacion mediante FSP,FCC + HCP,FCC+HCP,N/A,N/A,N/A,957,1158,11.6,23-sept-18,https://doi.org/10.1080/21663831.2018.1523240
206,Fe42Ni12Mn36Al8Ti2,Fe42-Ni12-Mn36-Al8-Ti3,HEA,Fusion por arco + laminado en frio + recocido 1073 K por 8 h,FCC+ B2,FCC+IM,N/A,N/A,N/A,509,830,19,22-ago-17,https://doi.org/10.1016/j.matchar.2017.08.019
207,Fe36Ni18Mn33Al13,Fe36-Ni18-Mn33-Al14,HEA,Fusion por arco,FCC(85%)+ B2,FCC+IM,N/A,186.5,N/A,270,578,22.8,02-jun-16,https://doi.org/10.1016/j.intermet.2016.06.001
208,Fe36Ni18Mn33Al13Ti2,Fe36-Ni18-Mn33-Al13-Ti2,HEA,Fusion por arco,FCC(72%)+ B2,FCC+IM,N/A,279.7,N/A,532,876,13.9,02-jun-16,https://doi.org/10.1016/j.intermet.2016.06.001
209,Fe36Ni18Mn33Al13Ti2,Fe36-Ni18-Mn33-Al13-Ti2,HEA,Fusion por arco + recocido 823 K por 24 h,FCC(72%)+ B2,FCC+IM,N/A,312.9,N/A,563,891,13.7,02-jun-16,https://doi.org/10.1016/j.intermet.2016.06.001
210,Fe36Ni18Mn33Al13Ti4,Fe36-Ni18-Mn33-Al13-Ti4,HEA,Fusion por arco,FCC(66%)+ B2,FCC+IM,N/A,374.7,N/A,953,1145,2.3,02-jun-16,https://doi.org/10.1016/j.intermet.2016.06.001
211,Fe36Ni18Mn33Al13Ti4,Fe36-Ni18-Mn33-Al13-Ti4,HEA,Fusion por arco + recocido 823 K por 24 h,FCC(66%)+ B2,FCC+IM,N/A,404.6,N/A,996,1144,1.1,02-jun-16,https://doi.org/10.1016/j.intermet.2016.06.001
212,Fe36Ni18Mn33Al13Ti4,Fe36-Ni18-Mn33-Al13-Ti4,HEA,Fusion por arco + recocido 1173 K por 24 h,FCC(68%)+ B2,FCC+IM,N/A,274.1,N/A,511,790,5.6,02-jun-16,https://doi.org/10.1016/j.intermet.2016.06.001
213,CoFeNi,Co33-Fe33-Ni33,LEA,Fusion por arco + enfriamiento por agua ,FCC,FCC,8.5,125,N/A,204,N/A,N/A,16-jun-16,https://doi.org/10.1016/j.jmmm.2014.07.023
214,CoFeNi,Co33-Fe33-Ni33,LEA,Fusion por arco + enfriamiento por agua ,FCC,FCC,8.5,125,N/A,209,N/A,N/A,16-jun-16,https://doi.org/10.1016/j.jmmm.2014.07.023
215,CoFeNi,Co33-Fe33-Ni33,LEA,Fusion por arco + enfriamiento por agua ,FCC,FCC,8.5,N/A,207,211,513,31,11-ago-14,https://doi.org/10.1016/j.actamat.2014.08.026
216,CoCrNi,Co33-Cr33-Ni34,LEA,Fusion por arco + enfriamiento por agua ,FCC,FCC,8.3,N/A,229,300,860,60,11-ago-14,https://doi.org/10.1016/j.actamat.2014.08.026
217,CoMnNi,Co33-Mn33-Ni35,LEA,Fusion por arco + enfriamiento por agua ,FCC,FCC,8.4,N/A,202,231,653,38,11-ago-14,https://doi.org/10.1016/j.actamat.2014.08.026
218,FeMnNi,Fe33-Mn33-Ni33,LEA,Fusion por arco + enfriamiento por agua ,FCC,FCC,8.1,N/A,203,221,602,36,11-ago-14,https://doi.org/10.1016/j.actamat.2014.08.026
219,CoCrFeNi,Co25-Cr25-Fe25-Ni25,MEA,Fusion por arco + enfriamiento por agua ,FCC,FCC,8.2,N/A,225,274,708,39,11-ago-14,https://doi.org/10.1016/j.actamat.2014.08.026
220,CoCrMnNi,Co25-Cr25-Mn25-Ni26,MEA,Fusion por arco + enfriamiento por agua ,FCC,FCC,8.1,N/A,222,282,694,44,11-ago-14,https://doi.org/10.1016/j.actamat.2014.08.026
221,CoFeMnNi,Co25-Fe25-Mn25-Ni27,MEA,Fusion por arco + enfriamiento por agua ,FCC,FCC,8.2,N/A,205,170,550,41,11-ago-14,https://doi.org/10.1016/j.actamat.2014.08.026
222,CoFeNiSi0.25,"Fe30,89-Co30,52-Ni30,27-Si8,31",HEA,Fusion por arco + enfriamiento por agua ,FCC,FCC,7.7,149,194,196,N/A,N/A,16-jun-16,https://doi.org/10.1016/j.jmmm.2014.07.023
223,CoFeNiSi0.5,"Fe27,73-Co28,16-Ni27,28-Si16,83",HEA,Fusion por arco + enfriamiento por agua ,FCC + Im,FCC+IM,7.1,287,N/A,476,N/A,N/A,16-jun-16,https://doi.org/10.1016/j.jmmm.2014.07.023
224,CoFeNiSi0.75,"Fe26,31-Co25,72-Ni26,06-Si21,91",HEA,Fusion por arco + enfriamiento por agua ,FCC + Im,FCC+IM,6.6,570,N/A,1301,N/A,N/A,16-jun-16,https://doi.org/10.1016/j.jmmm.2014.07.023
225,Al0.25CoFeNi,"Fe30,45-Co30,73-Ni29,19-Al9,63",HEA,Fusion por arco + enfriamiento por agua ,FCC,FCC,7.9,138,196,158,N/A,N/A,16-jun-16,https://doi.org/10.1016/j.jmmm.2014.07.023
226,Al0.5CoFeNi,"Fe-27,81-Co27,49-Ni27,28-Al17,42",HEA,Fusion por arco + enfriamiento por agua ,FCC + BCC,FCC + BCC,7.4,212,187,346,N/A,N/A,16-jun-16,https://doi.org/10.1016/j.jmmm.2014.07.023
227,Al0.75CoFeNi,"Fe26,13-Co25,85-Ni25,15-Al22,87",HEA,Fusion por arco + enfriamiento por agua ,FCC + BCC,FCC + BCC,7.0,385,179,794,N/A,N/A,16-jun-16,https://doi.org/10.1016/j.jmmm.2014.07.023
228,CoCrFeNi,Cr25-Fe25-Co25-Ni25,HEA,Fusion por arco ,FCC,FCC,8.2,N/A,225,148,413,48,09-ene-15,https://doi.org/10.1016/j.intermet.2015.01.004
